car_0 , car_1 , car_2
0.933978 ,1.34797 ,0.904526
1.09958 ,1.35145 ,0.953193
1.62325 ,2.05275 ,1.70555
2.65076 ,3.53957 ,2.6108
8.93876 ,10.7978 ,8.51508
2.92025 ,4.09674 ,2.86139
2.23316 ,2.96023 ,2.18607
1.38763 ,2.27568 ,1.21056
2.40739 ,1.8123 ,2.73504
5.33463 ,5.10196 ,5.30923
2.47385 ,2.77202 ,2.53223
3.53059 ,2.50181 ,3.68276
4.18165 ,2.93321 ,4.16564
1.80834 ,2.46164 ,1.73485
0.837941 ,1.35551 ,0.791549
3.31555 ,2.6686 ,3.28619
5.31789 ,5.83928 ,5.22364
2.47045 ,4.46333 ,2.34547
1.34854 ,2.53227 ,1.26259
2.86376 ,1.23985 ,3.09412
5.25817 ,7.43069 ,5.08539
3.66345 ,3.31782 ,3.70696
2.53414 ,2.6425 ,2.4696
6.39279 ,5.99521 ,6.54085
4.82562 ,5.31259 ,4.75684
10.0993 ,12.3851 ,9.84814
4.25898 ,5.01657 ,4.10447
0.0900438 ,0.657232 ,0.0688615
9.02 ,10.4006 ,8.96144
2.06068 ,3.11948 ,2.11101
5.62735 ,6.17939 ,5.65707
4.40303 ,5.56562 ,4.24777
1.0604 ,0.965087 ,1.06365
5.70063 ,6.08141 ,5.45245
0.285268 ,0.232349 ,0.310887
11.6583 ,11.4262 ,11.5601
1.94594 ,1.96079 ,1.91944
5.42846 ,4.35456 ,5.67856
2.96658 ,4.18845 ,2.8782
1.345 ,2.4394 ,1.22251
1.03835 ,1.16356 ,1.02756
5.92758 ,4.26439 ,6.11991
0.403902 ,1.10427 ,0.428423
9.19415 ,10.645 ,9.18393
3.69197 ,3.88363 ,3.68841
1.20055 ,1.46448 ,1.20613
3.11454 ,1.32346 ,3.12617
2.14882 ,3.96143 ,2.18866
2.57267 ,4.06326 ,2.57427
4.84626 ,5.07111 ,4.76972
1.38669 ,2.10437 ,1.39136
0.583315 ,0.413713 ,0.587507
1.31777 ,2.91762 ,1.34972
0.428092 ,0.704925 ,0.435329
1.44569 ,1.24026 ,1.35855
0.38926 ,1.59626 ,0.453691
2.1702 ,0.800214 ,2.04919
2.09765 ,1.16071 ,1.96609
2.74185 ,0.966208 ,2.34173
4.94709 ,6.0849 ,4.21677
1.22685 ,1.99427 ,1.00742
7.16713 ,5.76641 ,5.42893
6.84999 ,5.74854 ,4.36963
2.05581 ,2.80479 ,2.64896
2.82385 ,3.19808 ,3.44981
1.01093 ,1.01213 ,1.22454
3.23942 ,2.84845 ,2.83218
2.86734 ,0.948074 ,1.30648
7.89536 ,2.99264 ,4.49564
3.43958 ,3.84557 ,4.46657
4.43074 ,0.674952 ,2.24284
3.09432 ,3.77957 ,2.26418
9.8703 ,3.54352 ,6.22123
2.09211 ,9.77759 ,4.48928
2.66891 ,3.37304 ,1.6356
0.729769 ,2.51318 ,1.90248
3.92593 ,9.1267 ,6.36012
2.37619 ,2.45055 ,1.89059
8.36814 ,4.65868 ,5.58076
1.82346 ,2.3676 ,1.68317
5.38855 ,9.74334 ,8.01192
